date,POW,POW to POS,POS,OTHER
2015-01-01,0.8471725812495339,0.0034268011778937086,0.0037665926062308546,0.14563402496634154
2015-01-02,0.8478138932827552,0.003478072237204931,0.003752458282659643,0.1449555761973802
2015-01-03,0.8453814365014471,0.0035088289251745054,0.0035813558556953384,0.14752837871768298
2015-01-04,0.8565755177505565,0.0035782426441074173,0.0036508488396511185,0.136195390765685
2015-01-05,0.8526325663453975,0.003492493612392451,0.003916584498815115,0.13995835554339492
2015-01-06,0.8552738181901466,0.003508683305855003,0.0037882094971167925,0.13742928900688162
2015-01-07,0.8577880874818049,0.003519099676642729,0.003927495462676563,0.13476531737887576
2015-01-08,0.8539499712516677,0.003520562174528303,0.004279950311799487,0.13824951626200446
2015-01-09,0.8574109163125156,0.003514292327784943,0.004237356876644834,0.1348374344830546
2015-01-10,0.8586948911136981,0.00353229818358913,0.004140524857595776,0.13363228584511697
2015-01-11,0.8576968349999111,0.003618371735049343,0.004175201264502255,0.13450959200053728
2015-01-12,0.8608937761774541,0.0035061605329091733,0.004027994526756013,0.1315720687628807
2015-01-13,0.8602986223073072,0.0036053310296562083,0.003940780732178771,0.13215526593085772
2015-01-14,0.8417409844681147,0.0038114069984632975,0.0052136459696466835,0.14923396256377533
2015-01-15,0.8440599963379657,0.003934570553512001,0.005156204388084834,0.1468492287204375
2015-01-16,0.8439584916676521,0.004011649793823309,0.00461617158268728,0.14741368695583726
2015-01-17,0.8463471972613348,0.003999504119272558,0.005010547055285986,0.1446427515641066
2015-01-18,0.8510091277596558,0.003957509453281732,0.004900604806271151,0.1401327579807914
2015-01-19,0.8508406947330459,0.003880593020460633,0.004888732301810285,0.14038997994468322
2015-01-20,0.847896082745435,0.003941482584930947,0.0048668270868730676,0.14329560758276091
2015-01-21,0.8524218974356442,0.004013727835946195,0.004858097824941772,0.13870627690346785
2015-01-22,0.8535704518192658,0.003963579647939472,0.004598102489056241,0.1378678660437385
2015-01-23,0.8552489203282545,0.004010535667317852,0.004587409456523504,0.13615313454790418
2015-01-24,0.8628784975218894,0.004023601084714416,0.00447429872930265,0.12862360266409356
2015-01-25,0.8672772064392409,0.003945501431256455,0.004162277675600746,0.12461501445390191
2015-01-26,0.8789355734921789,0.003653111847920136,0.0038604625948577428,0.11355085206504327
2015-01-27,0.8762017726617184,0.0036572608870501224,0.004082283764584865,0.11605868268664661
2015-01-28,0.8691520872449301,0.003730567658034867,0.00463522991365576,0.12248211518337931
2015-01-29,0.8711660336131725,0.0038027825213068052,0.004329542659993821,0.12070164120552686
2015-01-30,0.8698491666264968,0.00380002228028455,0.004365836038597622,0.12198497505462103
2015-01-31,0.8666047963675093,0.0038470655091262357,0.004395612935732034,0.12515252518763248
2015-02-01,0.8725411571026527,0.0038444571278058357,0.004060225408063042,0.11955416036147848
2015-02-02,0.8809853645541724,0.00388623094197179,0.003942448099074677,0.11118595640478116
2015-02-03,0.8813042821523293,0.003965307428916289,0.0037075803364523007,0.11102283008230213
2015-02-04,0.8775673472006323,0.003943104325674937,0.003713974653046993,0.11477557382064577
2015-02-05,0.8653380145110483,0.003935391894752023,0.004066265170912002,0.12666032842328764
2015-02-06,0.8595048138428314,0.00385659462536691,0.0037734777212819997,0.13286511381051969
2015-02-07,0.8669205465441839,0.0038273099103847477,0.0037151381050773914,0.12553700544035387
2015-02-08,0.8660653804599856,0.0037972514509075775,0.0036907127122838804,0.12644665537682293
2015-02-09,0.8677537974499193,0.003841692776541092,0.003659832029040431,0.12474467774449918
2015-02-10,0.8704350951909221,0.0038641633317170986,0.003590541182100398,0.12211020029526036
2015-02-11,0.8691808274182559,0.003810532139711922,0.003556631596859489,0.12345200884517268
2015-02-12,0.8685197404451712,0.0038528722962016737,0.0034210756672399933,0.12420631159138713
2015-02-13,0.8711664084288555,0.0036708365906125257,0.003384618251774963,0.12177813672875702
2015-02-14,0.8778835583353913,0.003572918559990676,0.003233091176864874,0.11531043192775313
2015-02-15,0.8775210846662583,0.0036634176809893617,0.0031339024361717598,0.11568159521658056
2015-02-16,0.8767017446289457,0.003747275443340175,0.0031603913903681126,0.11639058853734598
2015-02-17,0.8789457726216527,0.003669918009509276,0.0030948740608207565,0.11428943530801719
2015-02-18,0.8777548792267051,0.0036844902532490644,0.0029957360675990884,0.11556489445244666
2015-02-19,0.8796709030838713,0.003706467989749867,0.003010687578362816,0.11361194134801599
2015-02-20,0.8832298654200716,0.003625875369023386,0.0029793085132383107,0.11016495069766666
2015-02-21,0.8849782200140047,0.0036399106383355156,0.0029544278708680503,0.10842744147679174
2015-02-22,0.882912327949439,0.00366551621951603,0.002693878947612163,0.11072827688343281
2015-02-23,0.8824431117363931,0.0036408711893849773,0.0029289417008920024,0.1109870753733299
2015-02-24,0.8819891671824391,0.0035897390042836054,0.002941367106227941,0.11147972670704928
2015-02-25,0.8813223151024774,0.0036701288505070428,0.0029963266864172647,0.11201122936059828
2015-02-26,0.8816788294154837,0.003714085339082657,0.002964241339969841,0.1116428439054638
2015-02-27,0.8883096535259487,0.003548022314913404,0.0028217804462394476,0.10532054371289849
2015-02-28,0.8911459867334405,0.003529432287488169,0.0027273924943798907,0.10259718848469146
2015-03-01,0.8988639316351584,0.0034979320174576543,0.0024524595205825503,0.09518567682680139
2015-03-02,0.9040257354326381,0.0034069087041900753,0.0025152421550328316,0.09005211370813904
2015-03-03,0.9167174573207502,0.0032665813461298107,0.002380397182606765,0.07763556415051327
2015-03-04,0.918244960608866,0.003350833354598832,0.002480833935985324,0.07592337210054993
